username,time,text,tags,locations
Lily,Aug 16,"My bestfriend is traveling today.Why does this country has to take away the people I love, I couldn’t even see him one last fucking time because of corona ayre bhek I couldn’t even hug him and kiss him w at the same time mafiye farji eno zeelet ahsan ma yezaal I’m sobbing ffs.",[],
Ralph Nader,Aug 16,"The reason why 
@FCBayern
 @RBLeipzig_EN
 @PSG_English
 @OL_English
 surpassed English and Spanish clubs & reached the semis in #UCL, is because the 
@Bundesliga_DE
 ended earlier than the 
@premierleague
 & the 
@FrenchLeague
 didn’t play during corona. Better stamina, more energy!",['#UCL'],
Yeghia Tashjian,Aug 16,Հալէպահայ զոհերու թիւը Corona ժահրին պատճառով հասաւ13֊ի։ Աստուած իմ ինչու՞ այսքան տանջանք:,[],
الراية,Aug 15,"Replying to 
@Basssdeh
 and 
@DerjaniNahid",[],
sarkia. kazanjian,Aug 15,Corona. Liban#,[],
KARAM PETER,Aug 15,Hada ykhaber mestashfa l hariri eno mish eza talabna naamol PCR yaane khalas sar ma3na corona... kes ekhtkon aa ekht hal balad,[],
Joseph Haddad,Aug 15,"- Economy crisis 
- Corona outbreak 
- Beirut explosion
- Bayern 8-2 Barca 

What could be coming next in 2020??? 

#BarcaBayern #COVID19 #Beirut","['#Beirut', '#COVID19', '#BarcaBayern']",
Joe,Aug 15,Even corona couldn't saved us from this,[],
Mark Z Nasr,Aug 14,"I feel bad for 
@FCBarcelona
 ... never found themselves post corona break and never tried to figure it out. #UCL",['#UCL'],
Hussein Al-Hussein,Aug 14,"Aha sar baddo ye7ke bl corona kamen, pishhhhh",[],
JS,Aug 14,"And they don't know when to stop!!!
 Their mental psychotic sickness is spreading wayyyy faster than Corona. Will ask Putin for help!!! Don't worry oranges and sheep troops",[],
Mouawad Caline,Aug 14,"Replying to 
@Counter_______",[],
Ragi Gebeily,Aug 13,Nshallah corona kelkon sawa .,[],
Bilal,Aug 13,"Replying to 
@Carla_AK1",[],
Jinan Naa,Aug 13,"Watch full video on my youtube channel 
https://youtu.be/f-cvUMG3chU
#BeirutBlast #Beirut_Explosion  #Lebanon  #Corona #لبنان_تحت_الاحتلال #انفجار_مرفأ_بيروت #انفجار_المرفأ #انفجار_بيروت","['#Beirut_Explosion', '#Corona', '#Lebanon', '#انفجار_مرفأ_بيروت', '#انفجار_بيروت', '#لبنان_تحت_الاحتلال', '#BeirutBlast', '#انفجار_المرفأ']",
Marie Claude Farhat,Aug 13,"Replying to 
@ElnashraNews",[],
𝓙𝓪𝔂,Aug 13,"Replying to 
@becsaurus",[],
𝓙𝓪𝔂,Aug 12,"Replying to 
@Goddessofwomenn",[],
