section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2
Bottega Veneta,4.1,(228),Boutique,Closed,Beirut,Opens at 10:00 AM
Cartier,4.9,(29),Jewelry store,Closed today,Beirut,Opens at 9:00 AM
Dior,3.9,(8),Clothing store,Closed,Beirut,Opens at 10:00 AM
Mövenpick Hotel Beirut,4.4,"(2,809)",5-star hotel,Opens at 8:00 AM,,Closed
InterContinental Phoenicia Beirut,4.6,"(2,545)",5-star hotel,Temporarily closed,,Opens at 9:00 AM
Tiffany & Co.,4.2,(25),Jewelry store,Closed today,,Opens at 8:00 AM
Lancaster Eden Bay,3.2,(186),5-star hotel,,"El Akhtal El Saghir, Ramlet El Baida",Closed today
Hilton Beirut Habtoor Grand,4.4,"(2,151)",5-star hotel,Opens at 9:00 AM,Charles de Gaulle St,Closed today
Wedding,5.0,(7),,Closing soon: 11:30 PM,,Closed today
Richmond Weddings™,5.0,(38),Wedding service,Closed today,1906 N Hamilton St G,Open until 4:30 AM
Jieh ETOILE WEDDING VENUE,3.5,(60),Wedding venue,,,
La Reine Wedding Garden,4.4,(23),Wedding venue,Closed,,Opens at 9:00 AM
Paradesos,4.2,(6),Wedding venue,Closed,,Opens at 9:00 AM
Dar Amine Bey Khodr,4.2,(16),Wedding venue,,,
Edesia Wedding Venue,4.8,(16),Wedding venue,,,
The Roses Garden,5.0,(1),Wedding venue,,Unnamed Road,Open until 12:00 AM
Arcadia Weddings & Events Venue,4.1,(22),Wedding venue,Closed,,Opens at 8:00 AM
Al Fares weddings & events,4.8,(5),Wedding venue,,,
Chateau Royal,3.8,(23),Wedding venue,,,
Arousayn w leil events & wedding venue,3.8,(4),Wedding venue,,,
Jardin des Rêves,3.9,(35),Wedding venue,,Unnamed Road Aalay,
صالة بيادركم - bayaderkom,,,Wedding venue,,,
Olivia wedding venue,4.9,(8),Wedding venue,,"Hasbaya, main road",
La Villa,5.0,(1),Wedding venue,,,
Vows Wedding Venue,5.0,(1),Wedding venue,,Rachaiya - Marjaayoun Rd,
House of wedding Group,3.0,(2),Wedding planner,Closed today,,
صالة قصر السعادة,3.6,(95),Wedding venue,,شارع رفيق الحريري,
صالة الفيحاء للاعراس,,,Wedding venue,,,
Eleganza Event Planner,4.5,(2),Wedding planner,,kfarhim، Banque Du Liban,
صالة عزة للأفراح,,,Wedding venue,,Masnaa - Rachaiya Rd,
Donna Maria Sursock Gardens,4.3,(134),Wedding venue,,1,
Bella planta,5.0,(1),Wedding service,Opens at 9:00 AM,,Closed
Royal Events,4.2,(6),Wedding planner,Opens at 9:00 AM,Beit Ed Dine - Barouk Rd,Closed
The Roses Garden,4.3,(8),Wedding venue,Closed today,Baisour، Baisour River,
Wedding Venue Saida Rest House,4.8,(16),Wedding venue,,Courniche El Baher,Open until 12:00 AM
Al Kanater Hall,3.2,(29),Wedding venue,Open until 12:00 AM,,
Weventslb,4.1,(22),Wedding planner,Closed,,Opens at 10:00 AM
Sunset Barouk Rest,5.0,(1),Wedding venue,,,Open until 12:00 AM
Cleopatra Weddings & Events Venue,5.0,(1),Wedding venue,,,
Saraï venue,5.0,(2),Wedding venue,,عين بعال مثلث عين بعال عيتيت قانا,
DreamDay Planners,5.0,(1),Wedding planner,,"Al madares, near pharmacy Al Rafah, Bchamoun",
Golden Paradise For Weddings,4.0,(2),Wedding venue,,,
Dar el Mir,4.6,(43),Wedding venue,,,
Saghbini Wedding Cars,4.7,(3),Wedding service,,Saida - Jezzine Rd,
Karm El Joz,4.8,(85),Wedding venue,Closed today,Jesuit Fathers Convent Street,
Al Tawahin ( Kalaa Weddings),4.5,(66),Wedding venue,Closed,القلعة,Opens at 10:00 AM
Golden Gate Group,3.6,(95),Wedding planner,,"Natasha saad street, Facing al quds mosque ( Hijazi Center )",
