section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Gucci,5.0,(3),Women's clothing store,Closed today,Antelias,Opens at 8:00 AM,04 717 716,Luxury Italian-designed fashions
Beirut Art Shop,4.7,(3),Antique furniture store,Closed,Beirut,Opens at 10:00 AM,03 348 977,Supermarket for groceries & more
Lego,4.8,(4),Store,Closed,,Opens at 10:00 AM,01 983 682,Source for Lego building sets & more
Kazma wedding cards,4.5,(16),Wedding store,Closed today,,Opens at 10:00 AM,01 658 180,
Pointure,4.3,(6),Shoe store,Temporarily closed,,Opens at 7:00 AM,01 336 533,Iconic Seattle-based coffeehouse chain
BOSS Shop,5.0,(1),Clothing store,Closed,Beirut,Opens at 10:00 AM,81 717 727,Designer apparel & fragrance retailer
"A&S Chronora - Rolex Boutique, Downtown Beirut",4.6,(59),Watch store,Closed today,Beirut,Opens at 10:00 AM,70 999 304,
Adidas Beirut Souks,4.0,(19),Store,Closed,Beirut,Opens at 10:00 AM,01 971 870,Athletic wear & shoes
Chic Beirut,4.5,(2),Vintage clothing store,Closed today,,Opens at 9:00 AM,70 083 036,
Ellina Lingerie Shop,4.8,(4),Lingerie store,Closed today,Beirut,Opens at 6:30 AM,01 343 908,Luxury brand for handbags & more
Salsa Jeans,4.0,(1),Clothing store,Temporarily closed,,Opens at 9:00 AM,03 688 543,British luxury apparel & accessories
Guess,3.0,(1),Fashion accessories store,Closed,,Opens at 10:00 AM,01 284 491,"Designer jeans, apparel & accessories"
NOIRO CONCEPT STORE,5.0,(2),Clothing store,Closed today,,Opens at 10:00 AM,01 988 799,Designer fashion for men & women
Healthline Shop,4.2,(10),Medical supply store,Closed,,Open until 2:00 AM,01 351 333,"Shower gels, creams, soaps & more"
"Esposa Privé, Downtown Beirut",4.9,(95),Bridal shop,Temporarily closed,Beirut,Closing soon: 11:00 PM,01 990 454,U.K.-born retailer for apparel & shoes
Cold Stone Creamery Lebanon,4.4,(108),Ice Cream,Closed today,,Closing soon: 11:00 PM,01 986 414,
Nougatini House of Chocolate - Achrafieh,5.0,(5),Chocolate shop,Closed today,,Opens at 10:00 AM,01 216 411,Source for trendy brand-name sunglasses
Paramount Butcher shop Achrafieh,4.5,(13),Butcher shop,Closed today,Independance,Closing soon: 11:00 PM,01 336 040,
Sunglass Hut,3.9,(7),Sunglasses store,Closed,Verdun,Opens at 10:00 AM,01 771 258,Source for trendy brand-name sunglasses
Khan El Kaser shop,5.0,(4),Cosmetics store,Closed today,,Opens at 1:00 PM,70 697 943,Designer apparel & fragrance retailer
Max,4.0,(185),Clothing store,Closed today,,Opens at 8:00 AM,05 956 436,Luxury Italian-designed fashions
Bokja Design,4.8,(11),Furniture store,Closed today,Mar Maroun,Opens at 10:00 AM,01 975 576,Supermarket for groceries & more
Starbucks,4.3,(272),Coffee shop,Closed,,Closing soon: 11:00 PM,01 757 102,Iconic Seattle-based coffeehouse chain
CloudSale Shop,4.5,(16),Shopping mall,Closed today,Digital District,Opens at 10:00 AM,78 939 364,
The Good Good Shop,5.0,(2),Shopping mall,Temporarily closed,,Opens at 7:00 AM,03 376 729,Iconic Seattle-based coffeehouse chain
TROYA SHOP,5.0,(1),Clothing store,Closed today,شارع برج أبي حيدر، بيروت،,Opens at 10:00 AM,01 659 251,Designer apparel & fragrance retailer
Lightmosphere,5.0,(4),Lighting store,Closed today,,Opens at 10:00 AM,01 219 122,
Electro Music shop,3.9,(12),Musical instrument store,Closed today,,Opens at 10:00 AM,03 361 049,Athletic wear & shoes
High Color Shop,4.0,(1),Photo shop,Closed today,Al,Opens at 9:00 AM,01 739 252,
Mobile Shop,5.0,(1),Electronics store,Closed today,,Opens at 6:30 AM,71 000 318,Luxury brand for handbags & more
Virgin Megastore,4.0,(355),Electronics store,Temporarily closed,,Closing soon: 11:00 PM,01 999 666,British luxury apparel & accessories
Tezenis,3.0,(1),Clothing store,01 284 491,El Jamil Street,Opens at 10:00 AM,Closed,"Designer jeans, apparel & accessories"
OMEGA Boutique - Beirut,5.0,(2),Watch store,Closed,Allenby Street Downtown Commercial Area,Opens at 4:00 PM,01 994 300,High-end watch designer & retailer
Bossini Dora,4.1,(31),Clothing store,Closed,Mirna chalouhi,Open until 2:00 AM,70 185 558,"Shower gels, creams, soaps & more"
GAÏA Downtown,4.6,(12),Women's clothing store,Closed,,Opens at 12:30 PM,03 427 197,U.K.-born retailer for apparel & shoes
Secret Senses by Zahar,3.7,(3),Lingerie store,Closed,"ABC Ashrafieh, ABC Verdun, ABC Dbayeh, City Centre Beirut, Saida",Opens at 10:00 AM,01 217 266,
Sugar Plum Outlet,5.0,(2),Women's clothing store,Closed today,Fakhry Beik str. Berytus Bldg,Opens at 10:00 AM,81 726 827,Source for trendy brand-name sunglasses
BEI-METROPOLITA,4.5,(13),Clothing store,Closed today,Horsh Tabet Roundabout,Closing soon: 11:00 PM,01 490 350,
Saga collection Jdeideh,3.5,(25),Women's clothing store,Closed today,,Opens at 10:00 AM,01 888 446,Source for trendy brand-name sunglasses
Hamadani Brothers,4.7,(31),Furniture store,Closed today,"Madina Bldg, Bashoura, Lebanon",Opens at 1:00 PM,70 021 248,Designer apparel & fragrance retailer
Vivienne Westwood,4.0,(185),Clothing store,Closed today,Foch Street,Opens at 8:00 AM,01 971 315,Luxury Italian-designed fashions
Furla,4.8,(11),Fashion accessories store,Closed,Alfred Naccache,Opens at 10:00 AM,01 201 301,Supermarket for groceries & more
Neo Gourmet,4.6,(18),Pastries,Closed today,Lebanon Street,Closing soon: 11:00 PM,01 203 326,Iconic Seattle-based coffeehouse chain
Sports Forever Outlet,4.1,(42),Sportswear store,Closed,,Opens at 10:00 AM,04 444 560,
Librairie Antoine Beirut Souks,4.4,(548),Book store,Temporarily closed,"Downtown, Beirut Souks, Ajami Square",Opens at 7:00 AM,01 999 650,Iconic Seattle-based coffeehouse chain
Hamdan Electronics,4.3,(121),Electronics store,Closed today,Khansa Street Main Road,Opens at 10:00 AM,01 844 544,Designer apparel & fragrance retailer
Pointure,5.0,(4),Shoe store,Closed today,"732 Center, Verdun",Opens at 10:00 AM,01 800 868,
"MUHIEDDINE FARHAT , Hotel and Restaurant Supplies, Shopping & Retail",3.7,(6),Kitchen supply store,Closed today,"Verdun - Sanayeh Cross , Rene Mouawad Street Garden Bldg",Opens at 10:00 AM,01 735 789,Athletic wear & shoes
Oumnia by Nivine Maktabi,4.0,(1),Carpet store,Closed today,"Beirut Lebanon Saifi Village, Mkhalassiyeh St،",Opens at 9:00 AM,01 993 339,
Aldo,3.9,(10),Clothing store,Closed,,Opens at 10:00 AM,01 884 770,Trendy footwear & accessories retailer
Wafic Soubra shop,4.0,(355),Clothing store,01 999 666,Zarif St،,Closing soon: 11:00 PM,Temporarily closed,British luxury apparel & accessories
IWC Schaffhausen Boutique - Beirut,4.4,(11),Watch store,Closed today,"Beirut Souks, Downtown Beirut Beirut",Opens at 10:00 AM,01 256 655,"Designer jeans, apparel & accessories"
Beirutink.Tattoo,5.0,(4),Tattoo shop,Temporarily closed,,Opens at 4:00 PM,76 768 586,High-end watch designer & retailer
H&M Beirut Souk,4.4,(14),Clothing store,Closed,Beirut Souk - H&M 1,Opens at 10:00 AM,01 757 124,Retailer for hip apparel & accessories
El puro cubano,4.6,(12),Cigar shop,Closed today,,Opens at 12:30 PM,01 361 881,U.K.-born retailer for apparel & shoes
Bossini Galaxy Mall,4.2,(11),Clothing store,Closed,Hazmieh,Opens at 10:00 AM,01 276 188,
BEI-LE MALL DBA,3.6,(16),Clothing store,Temporarily closed,Beirut,Opens at 10:00 AM,01 960 150,Source for trendy brand-name sunglasses
Haifa Magic Shop,3.8,(41),Clothing store,Closed today,,Open until 12:00 AM,78 977 708,
