section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Lebanese University - Faculty of Law,3.9,(8),Public university,,Closed,03 666 690,,,
Lu- Science - Ghobeiry - University,4.0,(1),University,,Closed today,01 687 229,,,
Lu- Fine Arts - Raouche - University,5.0,(1),University,,Closed today,01 489 684,,,
Makassed Nursing - University,4.6,(10),University,,Closed,01 646 505,http://nursingschool.almakassed.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Holy Spirit University of Kaslik, Zahle Campus Lebanese Maronite Order",4.1,(17),Private university,,Closed today,08 932 132,http://www.usek.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Barkley's - University,1.0,(1),University,,Closed today,01 857 285,,,
Modern University for Business and Science (MUBS),4.8,(4),University,Aley,Closed today,05 556 628,http://mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University,1.0,(1),University,,,01 292 981,,,
Lebanese University - General Administration,4.0,(5),Public university,,Closed,01 612 830,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
ISSAE Cnam Liban,4.0,(20),University,Beirut,Closed today,01 360 027,http://www.cnam-liban.fr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Francel - University,5.0,(1),University,,,01 484 130,,,
Ragipharmacie,5.0,(1),Faculty of pharmacy,Ijdabra,Closed today,06 725 364,,,
USJ - Zahleh,5.0,(1),University,,Closed today,08 803 325,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Antonine University, Campus of Zahleh - Bekaa",4.3,(10),Private university,,Closed today,08 902 020,http://www.ua.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
