section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Stem Beirut,4.4,-224,Restaurant,Beirut,Open until 12:00 AM,Closed today,
Snoubar Bakery,4.4,-40,Restaurant,,Open until 1:00 AM,Closed today,
3al Sate7,4.4,-31,Restaurant,Beirut,Opens at 7:00 AM,Closed,
ASH Beirut,5.0,-7,Restaurant,,Open until 11:30 PM,Closed today,
Suz' Coffee Bar,4.7,-14,Restaurant,Beirut,Open until 12:00 AM,Closed today,
Shallalat Al Zarqa Restaurant,4.1,"-1,160",Restaurant,,Opens at 12:30 PM,Closed,
Leila Cafe,4.1,-28,Restaurant,,Opens at 9:00 AM,Closed,
Papaya - Restaurant,3.7,-89,Restaurant,,Open until 1:00 AM,Temporarily closed,
Abul3ezz Dekweneh - شاورما ابو العز,4.3,-522,Restaurant,Beirut,Opens at 11:00 AM,Closed,
People Restaurant,4.4,-28,Restaurant,,Opens at 10:00 AM,Closed,
Joe Peña's,4.1,-295,Mexican,,Closing soon: 11:00 PM,Closed today,
Foul Time,4.2,-60,Restaurant,,Opens at 8:00 AM,Closed,
Jars & Co,4.7,-9,Restaurant,,Open until 12:00 AM,Closed today,
Hallab 1881 قصر الحلو,4.5,"-1,276",Restaurant,Tripoli,Opens at 6:00 AM,Closed,
المختار,5.0,-1,Restaurant,,Closing soon: 10:30 PM,,
Abdel Wahab Restaurant,4.3,-91,Restaurant,,Opens at 11:45 AM,Closed,
Snack Hammoudi,4.9,-14,Hamburger,Beirut,Opens at 7:00 AM,Closed today,
Sushi Express - Restaurant,4.5,-2,Restaurant,,Opens at 8:00 AM,Closed,
HARDEE''S,4.3,-191,Fast Food,BERUIT LEBANON,Opens at 11:00 AM,Closed,
Loris Restaurant,4.5,"(1,409)",Lebanese,Beirut,Open until 1:30 AM,,
Em Sherif Cafe,4.5,"(1,143)",Lebanese,,Open until 3:00 AM,,
Enab Restaurant,4.2,(979),Lebanese,,Open until 1:00 AM,,
Al Falamanki Sodeco,4.0,"(1,680)",Lebanese,,,,
T-Marbouta,4.5,"(1,980)",Lebanese,Beirut,Open until 1:00 AM,,
Café Em Nazih,4.4,"(2,722)",Lebanese,Beirut,Open until 4:00 AM,,
Mounir,4.4,"(2,544)",Lebanese,Broumana,Open until 12:00 AM,,
Em Sherif,4.5,"(1,061)",Restaurant,,Open until 2:00 AM,,
Al Halabi Restaurant,4.5,(716),Lebanese,,Open until 12:00 AM,,
El Denye Hek,4.3,(926),Lebanese,Beirut,Open until 1:00 AM,,
Restaurant UMMI,4.3,(308),Lebanese,,Open until 12:00 AM,,
3anbar Restaurant _ عنبر بيروت _ Anbar Beirut,4.3,(345),Lebanese,Beirut,Open until 3:00 AM,,
Jaï Asian restaurant,4.6,(476),Thai,,Closing soon: 11:00 PM,,
Abu Naim,4.4,(308),Lebanese,Beirut,Open until 1:00 AM,,
Bou Melhem,4.2,"(1,046)",Lebanese,Sin El Fil Dimitri El Hayek Street Sin El Fil,Open until 12:00 AM,,
Liza,4.4,(564),Restaurant,,Open until 11:30 PM,,
Restaurant L'Os,4.4,(942),Lebanese,Ain Saadeh,Open until 12:00 AM,,
Beirut on the roof,4.3,(65),Lebanese,,Open until 12:00 AM,,
Kahwet Beirut,4.2,(829),Lebanese,Beirut,Open until 4:00 AM,,
Diwan Beirut,4.4,(600),Lebanese,,Open until 12:00 AM,,
Loris Restaurant,4.5,"(1,409)",Lebanese,Beirut,Open until 1:30 AM,,
Em Sherif Cafe,4.5,"(1,143)",Lebanese,,Open until 3:00 AM,,
