date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
5/8/2020,2020,5,8,12,1,1,0,34,0,803,37,-0.7166819852941176,-0.7276934950042266,0.18757319897216806,0.13104528544656094
5/9/2020,2020,5,9,14,0,1,0,12,1,817,37,-0.6694623161764706,-0.8024873100959635,-0.13794207966559868,-0.5073704232049453
5/10/2020,2020,5,10,36,0,1,1,14,0,853,37,-0.15004595588235292,-0.5068814344401404,-0.40261933502136643,-0.2603291594019126
5/11/2020,2020,5,11,14,0,1,0,36,0,867,37,-0.6694623161764706,-0.8087786561459002,0.16906834774913682,0.15001056691498918
5/12/2020,2020,5,12,11,0,1,0,14,0,878,37,-0.7402918198529411,-0.8496588299364597,-0.07469465339603745,0.3593675701378982
5/13/2020,2020,5,13,8,0,1,0,11,0,886,37,-0.8111213235294118,-0.8902225458939623,-0.07443797176598871,0.3285349932996153
5/14/2020,2020,5,14,8,0,1,0,8,0,894,37,-0.8111213235294118,-0.8897919710282105,-0.11173670901956978,0.47242035187826914
5/15/2020,2020,5,15,5,0,1,0,8,0,899,37,-0.8819508272058824,-0.9306249086042753,-0.07370298725904773,0.27457798383262005
5/16/2020,2020,5,16,11,0,1,0,5,0,910,37,-0.7402918198529411,-0.8473111077897184,-0.188299236091435,-0.29496822720788485
5/17/2020,2020,5,17,9,0,1,0,11,0,919,37,-0.7875114889705882,-0.8747498711502391,-0.08620693436745633,0.37649677949249993
5/18/2020,2020,5,18,20,0,1,0,9,0,939,37,-0.5278033088235294,-0.7242316502872685,-0.25331764906313836,-0.2925701378982406
5/19/2020,2020,5,19,23,0,1,0,20,0,962,37,-0.4569738051470589,-0.6866735769953942,-0.14998252694111727,-0.5139242076536625
5/20/2020,2020,5,20,7,0,1,0,23,0,969,37,-0.8347311580882353,-0.9041880424478405,0.0934983441699728,0.10540842275010856
5/21/2020,2020,5,21,63,0,1,1,7,0,1032,37,0.48741957720588225,-0.18069436422512264,-0.8167499791396621,-0.11377925714587625
5/22/2020,2020,5,22,62,0,1,0,63,0,1094,37,0.4638097426470589,-0.230446206922728,-0.1002121823751497,0.46404607174935275
5/23/2020,2020,5,23,11,0,1,0,62,0,1105,37,-0.7402918198529411,-0.8632536244763802,0.48183897969444345,0.03844354455232925
5/24/2020,2020,5,24,17,0,1,0,11,0,1122,37,-0.5986328125,-0.7894744061949148,-0.17674307966152536,-0.39653436267516995
5/25/2020,2020,5,25,5,0,1,0,17,0,1127,37,-0.8819508272058824,-0.9376549095541729,0.01853217895417736,0.10001118849822382
5/26/2020,2020,5,26,21,0,1,0,5,0,1148,37,-0.5041934742647058,-0.7400522393565259,-0.28417692956744856,-0.18077349817720714
5/27/2020,2020,5,27,21,0,1,0,21,0,1169,37,-0.5041934742647058,-0.7418855369365798,-0.11173670901956978,0.47242035187826914
5/28/2020,2020,5,28,7,0,1,0,21,0,1176,37,-0.8347311580882353,-0.9135341311157685,0.03884004736355903,0.1207005864637819
5/29/2020,2020,5,29,4,0,1,0,7,0,1180,37,-0.9055606617647058,-0.9502231858715096,-0.07978326044820684,0.24631478839752735
5/30/2020,2020,5,30,19,0,1,0,4,0,1199,37,-0.551413143382353,-0.7648048099233431,-0.27252078586061235,-0.16622869584803662
5/31/2020,2020,5,31,29,1,0,1,19,0,1228,38,-0.31531479779411764,-0.5418889270325549,-0.21776478372101676,-0.40081492777149225
6/1/2020,2020,6,1,13,0,1,0,29,1,1241,38,-0.7271752450980392,-0.8412151846885094,0.05729966359943098,0.18134192532834867
6/2/2020,2020,6,2,9,0,1,0,13,0,1250,38,-0.8111213235294118,-0.8897266939648963,-0.06997073483662763,0.3100881524561981
6/3/2020,2020,6,3,14,0,1,0,9,0,1264,38,-0.7061887254901961,-0.8286148449165881,-0.16419573671152998,-0.39431764146457443
6/4/2020,2020,6,4,50,1,1,0,14,0,1314,39,0.049325980392156854,-0.2999303027919942,-0.49072121802530266,-0.20288159771754638
