date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths,sentiment_ratio1,sentiment_ratio2,sentiment_ratio3,sentiment_ratio4
8/3/2020,2020,8,3,209,3,177,0,5272,76,0.7488095238095238,8.118580784282406,-5.265148164528969,-0.423444976076555
8/4/2020,2020,8,4,146,2,209,3,5418,78,0.5071428571428571,5.5127637220660475,5.528935185185185,0.682615629984051
8/5/2020,2020,8,5,255,2,146,2,5673,80,0.6369047619047619,8.377062400846112,-7.771704903283851,0.21372549019607845
8/6/2020,2020,8,6,279,3,255,2,5952,83,0.8321428571428571,9.332643072289157,-2.5960548885077186,-0.7903225806451613
8/7/2020,2020,8,7,272,0,279,3,6224,83,0.3238095238095238,6.992287917737789,3.3161532864419114,0.4874551971326165
8/8/2020,2020,8,8,294,3,272,0,6518,86,0.85,9.11088078095007,-4.3696685508735875,-0.46258503401360546
8/9/2020,2020,8,9,295,3,294,3,6813,89,0.8511904761904762,8.834755762694254,-0.06813417190775682,0.0016949152542372614
8/10/2020,2020,8,10,309,5,295,3,7122,94,1.2011904761904764,9.997562243453011,-2.8407021182888883,-0.7773462783171521
8/11/2020,2020,8,11,292,4,309,5,7414,98,1.0142857142857142,8.744845658792245,2.0914378415300545,0.8724919093851133
8/12/2020,2020,8,12,298,2,292,4,7712,100,0.6880952380952381,7.515778008298755,1.4439988255235094,-0.23993288590604028
8/13/2020,2020,8,13,334,2,298,2,8046,102,0.7309523809523809,8.028132356596629,-2.473792818819645,0.053892215568862256
8/14/2020,2020,8,14,397,1,334,2,8443,103,0.6392857142857142,8.425356100130056,-3.361691109190728,-0.17065491183879095
8/15/2020,2020,8,15,439,4,397,1,8882,107,1.1892857142857143,10.546525894016462,-5.598413957176843,-0.5771640091116172
8/16/2020,2020,8,16,456,2,439,4,9338,109,0.8761904761904762,9.37199683251428,0.6849935762136368,-0.23135964912280704
8/17/2020,2020,8,17,421,2,456,2,9759,111,0.8345238095238094,8.450860328511727,2.312088337853545,0.9616228070175439
8/18/2020,2020,8,18,589,4,421,2,10348,115,1.3678571428571429,11.924489504378077,-12.828047182175624,-0.6073853989813243
8/19/2020,2020,8,19,605,2,589,4,10953,117,1.0535714285714286,10.594610538735436,0.8002873563218391,-0.23677685950413224
8/20/2020,2020,8,20,628,2,605,2,11581,119,1.0809523809523809,10.473664848030568,-1.4251785714285716,0.01831210191082805
8/21/2020,2020,8,21,611,1,628,2,12192,120,0.894047619047619,9.26998031496063,1.9494810963992686,0.7364649681528662
8/22/2020,2020,8,22,507,4,611,1,12699,124,1.2702380952380952,9.148060934439847,3.726760563380282,0.2898936170212766
8/23/2020,2020,8,23,457,2,507,4,13156,126,0.8773809523809524,7.193077453947019,4.754032539018953,0.7006903353057199
8/24/2020,2020,8,24,532,12,457,2,13688,138,2.6333333333333333,12.879310344827587,-13.133892785571142,-0.5128446115288221
8/25/2020,2020,8,25,561,1,532,12,14249,139,0.8345238095238094,7.511667864108601,6.929960899315737,-0.4324866310160428
8/26/2020,2020,8,26,689,7,561,1,14938,146,1.986904761904762,11.660301850387995,-11.663922428395196,-0.4785403275969313
8/27/2020,2020,8,27,676,2,689,7,15614,148,1.138095238095238,8.765979249391572,4.115221825008256,0.633423180592992
8/28/2020,2020,8,28,662,5,676,2,16276,153,1.6214285714285714,9.747503441451947,-1.1842486106823094,0.2896449704142012
8/29/2020,2020,8,29,595,3,662,5,16871,156,1.2083333333333335,7.841783579469549,5.054490169609323,0.7493957703927492
8/30/2020,2020,8,30,438,7,595,3,17309,163,1.6880952380952383,7.851629015296487,6.096363659767276,0.15378151260504205
8/31/2020,2020,8,31,469,3,438,7,17778,166,1.0583333333333333,6.227583299787066,0.8839730745370402,-0.2526652452025586
9/1/2020,2020,9,1,588,6,469,3,18366,172,1.1495327102803738,8.608947524368842,-8.152616875712656,-0.6488095238095238
9/2/2020,2020,9,2,588,4,588,6,18954,176,0.9495327102803739,7.542907709574376,1.2265625,0.8333333333333333
9/3/2020,2020,9,3,527,4,588,4,19481,180,0.8925233644859814,6.814279440366397,3.1534325889164596,0.9481292517006803
9/4/2020,2020,9,4,531,3,527,4,20012,183,0.7962616822429907,6.29988236566257,0.4147839145669948,-0.12123352165725049
9/5/2020,2020,9,5,415,4,531,3,20427,187,0.7878504672897196,5.572391212322791,5.331817091627865,0.01577212806026368
9/6/2020,2020,9,6,400,6,415,4,20827,193,0.9738317757009345,6.198332127163549,-0.49960609243697474,0.14859437751004018
9/7/2020,2020,9,7,498,7,400,6,21325,200,1.1654205607476635,7.365398593200469,-5.532106339867495,-0.8301778542742397
9/8/2020,2020,9,8,553,5,498,7,21878,205,1.016822429906542,6.9018749205683845,-1.448352177732438,-0.09312839059674499
9/9/2020,2020,9,9,560,7,553,5,22438,212,1.2233644859813082,7.623432367933778,-1.5888441965662587,-0.8508928571428571
9/10/2020,2020,9,10,546,10,560,7,22984,222,1.5102803738317756,8.482471158941747,-1.1832509387920243,0.1375
9/11/2020,2020,9,11,686,7,546,10,23670,229,1.3411214953271027,8.31084618747959,-4.999044177499321,-0.04795918367346941
