section-result-title,section-result-location,category
al chaloufمطعم الشالوف,,restaurant
resto snack al dahrouj | الدحروج,Unnamed Road,restaurant
shawarma w saj,,restaurant
al nuaimi mandi,,restaurant
safa chicken,,restaurant
lily's,,restaurant
baba ghanouj,,restaurant
old rock,,restaurant
"baytna, barouk",Beit Ed Dine - Barouk Rd,restaurant
tawlet saida,,restaurant
shallalat al zarqa,,restaurant
la salle resto,Rmayle,restaurant
kasr mir amin -,,restaurant
serail el bek -,,restaurant
al tahouneh- مطعم الطاحونة بعقلين,Baakline River، Baaqline El Shouf,restaurant
moon hill,near NDU louize shou campus,restaurant
مطعم شلالات نبع مرشد - shallalat nabeh merched,Moukhtara,restaurant
b.rock,Baadaran Airport,restaurant
abou ataya,Homsieh Main Road Saida Jezzine Dhour el Ramlet area Dahr al Ramleh Bkassine ضهر الرملة,restaurant
best food,,restaurant
challalat nabeh el safa rest.,,restaurant
falafel wa manakish jean,,restaurant
shawarma station,,restaurant
al sanawbar -,,restaurant
al hawr,,restaurant
la forêt,,restaurant
sabeh ayoun -,,restaurant
orchid beach resort,,restaurant
burger hills,,restaurant
chill resto pub,,restaurant
super bowl,,restaurant
em ali,,restaurant
hallak,,restaurant
al baba (el papitto) -,,restaurant
al midyaf -,,restaurant
al zaeem& cafe,Rashid Nakhle street Birak park street Barouk al,restaurant
simon,,restaurant
palais des cedres hotel,,restaurant
